,ra,dec,Vmag,plx,sy_dist,name
305,335.3794796033333,12.205184115277778,4.99,2.01,497.51243781094536,* 31 Peg                           
306,302.94989153336996,26.80899108813,5.487,2.0171,495.7612413861484,* 19 Vul                           
307,356.75799356466,57.45135904064,5.503,2.0215,494.6821667078902,HD 223173                          
308,342.59074398550996,41.953394833400004,5.91,2.0266,493.4372841211881,* 14 Lac                           
309,107.09785021416666,-26.39319957888889,1.84,2.03,492.61083743842374,* del CMa                          
310,265.24394331645,-32.214462321250004,5.6,2.0344,491.5454187966968,V* BM Sco                          
311,65.59470724742998,20.82141316609,5.95,2.0369,490.94211792429667,HD 27639                           
312,99.13682126540998,38.445505283779994,5.25,2.0387,490.5086574778045,V* UU Aur                          
313,114.01622127805997,-14.492771915379999,5.7,2.0401,490.1720503896868,HD 60855                           
314,226.19551355932995,-83.03831097558,5.645,2.0741,482.1368304324767,* pi.02 Oct                        
315,261.00448139791996,-62.86415398438,5.676,2.0756,481.7883985353633,HD 156838                          
